GEOID10_Tract,Tract Pop,geo_pr_white,geo_pr_black,geo_pr_aian,geo_pr_api,geo_pr_mult,geo_pr_hispanic,here,here_given_white,here_given_black,here_given_aian,here_given_api,here_given_mult,here_given_hispanic
55123960500,2589,0.973348783,0.004248745,0.001158749,0.003862495,0.005407493,0.011973735,0.000595515,0.000670886,4.68045E-05,8.69979E-05,0.000112172,0.000426908,0.000155138
55123960600,3403,0.983543932,0.002644725,0.000587717,0.002644725,0.0035263,0.007052601,0.00078275,0.000891054,3.82946E-05,5.79986E-05,0.000100955,0.000365921,0.000120107
55123960700,3103,0.982919755,0.002255881,0.003867225,0.00257815,0.003544956,0.004834032,0.000713745,0.000811985,2.97847E-05,0.000347992,8.97376E-05,0.000335428,7.50668E-05
55125940000,2518,0.442017474,0.000794281,0.525416998,0.001191422,0.011517077,0.019062748,0.000579184,0.000296308,8.50991E-06,0.038366077,3.36516E-05,0.00088431,0.000240214
55125950200,3478,0.97613571,0,0.007475561,0.005175388,0.00546291,0.005750431,0.000800001,0.000903833,0,0.000753982,0.00020191,0.000579376,0.000100089
55125950500,4769,0.963933739,0.002725938,0.012371566,0.003984064,0.006500315,0.010484378,0.001096954,0.001223835,5.53144E-05,0.001710959,0.000213127,0.000945297,0.000250223
55125950600,3310,0.987607795,0.000302298,0.002720683,0.001813788,0.004232173,0.003323263,0.000761358,0.000870284,4.25754E-06,0.000261152,6.7344E-05,0.000427167,5.5049E-05
55125950700,3546,0.973203878,0.001692528,0.00733429,0.002256705,0.007616378,0.007896221,0.000815642,0.000918736,2.5537E-05,0.000754196,8.97631E-05,0.000823557,0.000140125
55127000101,4465,0.95945848,0.002912202,0.004256295,0.004704326,0.005600388,0.023068309,0.001027028,0.001140502,5.53271E-05,0.000551113,0.000235615,0.000762511,0.000515459
55127000102,1868,0.970021413,0.00267666,0.001070664,0.005888651,0.005888651,0.014453961,0.000429673,0.000482399,2.12748E-05,5.79986E-05,0.000123389,0.000335428,0.00013512
55127000200,5103,0.973328728,0.002551578,0.001962752,0.003729229,0.00451433,0.013913384,0.00117378,0.00132231,5.54025E-05,0.000290455,0.000213466,0.000702466,0.000355316
55127000301,2523,0.967102656,0.001585414,0.000792707,0.004359889,0.003567182,0.022592152,0.000580334,0.000649588,1.70198E-05,5.79986E-05,0.000123389,0.000274441,0.000285254
55127000302,4727,0.957689867,0.002750159,0.000634652,0.003596361,0.003596361,0.0317326,0.001087293,0.001205199,5.53144E-05,8.69979E-05,0.000190692,0.000518389,0.000750668
55127000400,3127,0.86440678,0.016629357,0.000959386,0.011192837,0.00959386,0.097217781,0.000719265,0.000719605,0.000221258,8.69979E-05,0.000392602,0.000914804,0.001521354
55127000501,3613,0.863243014,0.054264154,0.001661148,0.027685793,0.015504044,0.037641849,0.000831053,0.000830327,0.000834211,0.000174046,0.001122043,0.001708125,0.000680606
55127000502,3080,0.899661951,0.01558981,0.002923089,0.013316296,0.006820542,0.061688312,0.000708454,0.000737698,0.000204309,0.000261084,0.000460064,0.000640584,0.000950846
55127000600,4209,0.863619495,0.003328013,0.002377152,0.002377152,0.003090298,0.125207888,0.000968144,0.00096772,5.96018E-05,0.000290151,0.000112233,0.00039663,0.002637347
55127000701,2920,0.727352869,0.009949638,0.001372364,0.006518729,0.006518729,0.248287671,0.000671651,0.000565427,0.000123619,0.000116209,0.000213516,0.000580433,0.003628229
55127000702,3424,0.768983645,0.011098131,0.002336449,0.00963785,0.004964953,0.202978972,0.00078758,0.00070097,0.000161688,0.000231994,0.000370168,0.000518389,0.003478096
55127000800,3502,0.895488292,0.006853227,0.001713307,0.006567676,0.004854369,0.08452313,0.000805522,0.000834881,0.000102119,0.000173996,0.000257996,0.000518389,0.001481318
55127000901,4324,0.910261426,0.009715624,0.002775893,0.008790326,0.006477083,0.061979648,0.000994596,0.001047853,0.000178752,0.000348077,0.000426359,0.000854027,0.001341194
55127000902,2405,0.849480249,0.005405405,0.001663202,0.004989605,0.001663202,0.136798337,0.000553192,0.000543897,5.53144E-05,0.000115997,0.000134606,0.000121974,0.001646465
55127001000,4076,0.946254423,0.006874708,0.003682879,0.003928404,0.007120233,0.032139352,0.000937552,0.001026811,0.000119229,0.000435321,0.000179612,0.000884983,0.000655583
55127001501,2411,0.910410618,0.004977188,0.002073828,0.016175861,0.000414766,0.06594774,0.000554572,0.000584363,5.10595E-05,0.000144997,0.000437471,3.04935E-05,0.000795708
55127001502,4155,0.840433213,0.003610108,0.001684717,0.01179302,0.00433213,0.138146811,0.000955723,0.000929657,6.38243E-05,0.000202995,0.000549643,0.000548882,0.002872557
55127001602,4435,0.8836374,0.004512959,0.00112824,0.01105675,0.003836015,0.095828636,0.001020128,0.001043316,8.51628E-05,0.000145105,0.000550054,0.000518777,0.002126893
55127001603,2031,0.934014226,0.004433612,0.000492624,0.00689673,0.004433612,0.049729197,0.000467166,0.000505024,3.83145E-05,2.90143E-05,0.000157122,0.000274583,0.00050545
55127001604,3818,0.907801408,0.003405893,0.000261992,0.006549794,0.002881909,0.079099005,0.000878207,0.000922731,5.53302E-05,2.90076E-05,0.00028051,0.000335523,0.001511345
55127001701,4217,0.8861665,0.016366565,0.003083556,0.004743932,0.008776274,0.080863173,0.000969984,0.000994872,0.000293668,0.000377088,0.000224402,0.001128549,0.001706519
55127001702,3795,0.923832984,0.003692167,0.00210981,0.005274525,0.005801977,0.059288538,0.000872917,0.000933369,5.96195E-05,0.00023219,0.000224533,0.00067142,0.001126002
55129950100,1635,0.950458716,0.001834862,0.00795107,0.003058104,0.008562691,0.028134557,0.000376079,0.000413713,1.27649E-05,0.000376991,5.6086E-05,0.000426908,0.000230205
55129950200,1476,0.963414634,0.00203252,0.008807588,0.001355014,0.019647696,0.004742547,0.000339506,0.000378572,1.27649E-05,0.000376991,2.24344E-05,0.00088431,3.50312E-05
55129950300,2206,0.963268498,0.000907032,0.012244939,0.001360549,0.014966036,0.007252947,0.000507419,0.00056572,8.5138E-06,0.000783339,3.3667E-05,0.001006744,8.00713E-05
55129950500,4002,0.963518241,0.001249375,0.013243378,0.005997001,0.008995502,0.006996502,0.00092053,0.001026562,2.12748E-05,0.001536963,0.000269213,0.001097764,0.000140125
55129950600,3360,0.975,0.001488095,0.006547619,0.00297619,0.00625,0.007738095,0.000772859,0.000872152,2.12748E-05,0.000637985,0.000112172,0.000640363,0.000130116
55131400102,2935,0.960811546,0.007157518,0.003408342,0.003408342,0.003749176,0.021465077,0.000675102,0.000750749,8.93852E-05,0.000290094,0.000112211,0.000335545,0.000315281
55131400103,3039,0.97301744,0.005593945,0.000987167,0.007239223,0.001645278,0.011516946,0.000699023,0.000787226,7.23342E-05,8.69979E-05,0.000246778,0.000152467,0.000175156
55131400104,4248,0.969632768,0.005885122,0.002589454,0.009887006,0.003060264,0.008945386,0.000977115,0.001096579,0.000106374,0.000318992,0.000471122,0.000396415,0.000190169
55131410100,3791,0.9691334,0.00316624,0.002902387,0.006068627,0.002902387,0.015826959,0.000871997,0.000978105,5.10732E-05,0.000319078,0.000258065,0.000335518,0.000300267
55131420103,4748,0.969033636,0.002528463,0.000421411,0.007374685,0.00358199,0.017059815,0.001092123,0.001224892,5.10814E-05,5.80235E-05,0.00039277,0.000518611,0.000405361
55131420104,4028,0.967967023,0.001738714,0.003229041,0.007203244,0.001987102,0.017874876,0.000926511,0.001038002,2.97998E-05,0.000377182,0.000325463,0.000244071,0.000360321
55131420105,3441,0.918047079,0.011624528,0.006102877,0.008137169,0.011333915,0.044754432,0.00079149,0.000841004,0.000170198,0.000608985,0.000314082,0.001189245,0.000770686
55131420106,2622,0.959185631,0.005341527,0.001907688,0.003433839,0.004196914,0.025934401,0.000603106,0.000669551,5.95927E-05,0.000145053,0.000100994,0.000335559,0.000340303
55131420200,4145,0.967430639,0.004101327,0.001930036,0.006513872,0.004342581,0.015681544,0.000953423,0.001067561,7.23342E-05,0.000231994,0.000302864,0.000548882,0.00032529
55131420300,4332,0.943444137,0.007848569,0.004616805,0.003000923,0.005540166,0.0355494,0.000996436,0.00108806,0.000144668,0.000579986,0.000145824,0.000731843,0.000770686
55131420401,1502,0.960053262,0.00665779,0.002663116,0.005992011,0.007323569,0.017310253,0.000345486,0.000383896,4.25496E-05,0.000115997,0.000100955,0.000335428,0.000130116
55131420402,1692,0.957446809,0.002955083,0.002364066,0.010047281,0,0.027186761,0.00038919,0.000431284,2.12748E-05,0.000115997,0.000190692,0,0.000230205
